txn_id,date,description,amount,balance
BT0044,01/21/2025,SLACK T0288,"-14,572.30","-1,837,492.62"
BT0106,01/21/2025,COMCAST BUSINESS,"-147,156.66","-1,984,649.28"
BT0141,2025-01-21,VERIZON WRLS,"-41,565.98","-2,026,215.26"
BT0085,2025-01-22,INGREDIENT SUPPLIER LLC,"-118,640.25","-2,144,855.51"
BT0119,2025-01-22,AMAZON WEB SERVICES AWS,"-25,925.14","-2,170,780.65"
BT0124,01/22/2025,WEWORK MEMBERSHIP,"-83,322.51","-2,254,103.16"
BT0010,01/23/2025,RAZORPAY SETTLEMENT 0009 UTRPO0009,"123,316.82","-2,130,786.34"
BT0177,2025-01-23,INGREDIENT SUPPLIER LLC,"-62,674.63","-2,193,460.97"
BT0142,01/25/2025,SHIPSTATION,"-119,209.29","-2,312,670.26"
BT0074,01/26/2025,SLACK T0288,"-33,901.24","-2,346,571.50"
BT0156,01/26/2025,COMCAST BUSINESS,"-124,765.28","-2,471,336.78"
BT0012,01/27/2025,RAZORPAY SETTLEMENT 0011 UTRPO0011,"127,407.99","-2,343,928.79"
BT0046,01/29/2025,SHENZHEN MFG CO,"-156,201.06","-2,500,129.85"
BT0120,01/29/2025,KLAVIYO INC,"-154,283.95","-2,654,413.80"
BT0181,2025-01-29,RAZORPAYX PAYROLL NET DIRECT DEP,"-744,661.91","-3,399,075.71"
BT0182,01/29/2025,RAZORPAYX PAYROLL EPF CHALLAN,"-105,128.74","-3,504,204.45"
BT0048,01/31/2025,FIGMA MONTHLY,"-83,229.57","-3,587,434.02"
BT0061,2025-01-31,SHENZHEN MFG CO,"-101,751.73","-3,689,185.75"
BT0145,2025-01-31,INGREDIENT SUPPLIER LLC,"-75,877.27","-3,765,063.02"
BT0191,2025-01-31,ONLINE TRANSFER TO SAVINGS xxxx8841,"-500,000.00","-4,265,063.02"
BT0014,02/02/2025,RAZORPAY SETTLEMENT 0013 UTRPO0013,"298,709.26","-3,966,353.76"
BT0041,2025-02-02,PINTEREST ADS 22,"-23,525.04","-3,989,878.80"
BT0099,2025-02-03,INGREDIENT SUPPLIER LLC,"-20,136.36","-4,010,015.16"
BT0149,2025-02-03,FIGMA MONTHLY,"-22,792.12","-4,032,807.28"
BT0167,2025-02-03,KHAITAN LAW RETAINER,"-98,812.56","-4,131,619.84"
BT0051,2025-02-06,USPS PB 8000,"-23,393.85","-4,155,013.69"
BT0060,02/07/2025,STAPLES 00471,"-118,784.98","-4,273,798.67"
BT0016,02/08/2025,RAZORPAY SETTLEMENT 0015 UTRPO0015,"310,500.34","-3,963,298.33"
BT0056,02/08/2025,VERCEL INC,"-48,106.28","-4,011,404.61"
BT0131,2025-02-08,FRACTIONAL CFO LLC,"-48,364.09","-4,059,768.70"
BT0084,02/09/2025,SLACK T0288,"-109,322.94","-4,169,091.64"
BT0104,02/10/2025,VERCEL INC,"-112,772.78","-4,281,864.42"
BT0069,2025-02-12,VERCEL INC,"-96,348.53","-4,378,212.95"
BT0158,02/12/2025,GOOGLE *GSUITE_acme,"-23,301.37","-4,401,514.32"
BT0183,2025-02-12,RAZORPAYX PAYROLL NET DIRECT DEP,"-680,904.82","-5,082,419.14"
BT0184,02/12/2025,RAZORPAYX PAYROLL EPF CHALLAN,"-96,127.74","-5,178,546.88"
BT0018,02/13/2025,RAZORPAY SETTLEMENT 0017 UTRPO0017,"282,036.11","-4,896,510.77"
BT0070,02/13/2025,FACEBK *7H2K9,"-58,647.50","-4,955,158.27"
BT0126,02/13/2025,RAZORPAY SOFTWARE SUBS,"-148,908.55","-5,104,066.82"
BT0155,2025-02-13,FACEBK *7H2K9,"-65,478.99","-5,169,545.81"
BT0136,02/14/2025,FLEXPORT 3PL INV,"-53,231.75","-5,222,777.56"
BT0089,2025-02-16,NOTION LABS INC,"-105,479.56","-5,328,257.12"
BT0150,02/16/2025,UPWORK *CONTRACTOR,"-126,225.28","-5,454,482.40"
BT0042,02/17/2025,NOTION LABS INC,"-79,712.99","-5,534,195.39"
BT0066,02/17/2025,NOTION LABS INC,"-64,325.91","-5,598,521.30"
BT0078,02/17/2025,UPWORK *CONTRACTOR,"-45,662.17","-5,644,183.47"
BT0164,02/17/2025,FEDEX 7729,"-134,745.96","-5,778,929.43"
BT0020,02/18/2025,RAZORPAY SETTLEMENT 0019 UTRPO0019,"264,218.03","-5,514,711.40"
BT0039,2025-02-18,CONTRACT MFG ACH,"-127,141.81","-5,641,853.21"
BT0170,02/18/2025,FRACTIONAL CFO LLC,"-127,990.33","-5,769,843.54"
BT0079,2025-02-19,CONTRACT MFG ACH,"-122,851.13","-5,892,694.67"
BT0140,02/19/2025,GOOGLE *GSUITE_acme,"-48,452.81","-5,941,147.48"
BT0096,02/20/2025,STAPLES 00471,"-87,737.31","-6,028,884.79"
BT0047,2025-02-23,PACKAGING SUPPLY CO,"-153,583.49","-6,182,468.28"
BT0165,2025-02-23,FLEXPORT 3PL INV,"-18,797.07","-6,201,265.35"
BT0022,02/24/2025,RAZORPAY SETTLEMENT 0021 UTRPO0021,"180,962.75","-6,020,302.60"
BT0055,2025-02-24,RAZORPAY SOFTWARE SUBS,"-100,778.11","-6,121,080.71"
BT0087,2025-02-25,UPWORK *CONTRACTOR,"-101,758.61","-6,222,839.32"
BT0091,2025-02-26,PINTEREST ADS 22,"-112,142.19","-6,334,981.51"
BT0103,2025-02-26,ALIBABA *RAWMAT,"-148,363.10","-6,483,344.61"
BT0172,02/26/2025,KHAITAN LAW RETAINER,"-32,126.79","-6,515,471.40"
BT0185,2025-02-26,RAZORPAYX PAYROLL NET DIRECT DEP,"-620,932.91","-7,136,404.31"
BT0186,02/26/2025,RAZORPAYX PAYROLL EPF CHALLAN,"-87,661.12","-7,224,065.43"
BT0094,02/27/2025,AMAZON WEB SERVICES AWS,"-25,994.55","-7,250,059.98"
BT0073,2025-02-28,NOTION LABS INC,"-128,250.46","-7,378,310.44"
BT0138,03/01/2025,WEWORK MEMBERSHIP,"-53,198.83","-7,431,509.27"
BT0143,2025-03-01,TIKTOK ADS,"-164,338.18","-7,595,847.45"
BT0024,03/02/2025,RAZORPAY SETTLEMENT 0023 UTRPO0023,"178,275.74","-7,417,571.71"
BT0052,03/02/2025,ALIBABA *RAWMAT,"-125,401.72","-7,542,973.43"
BT0065,2025-03-02,WEWORK MEMBERSHIP,"-64,912.50","-7,607,885.93"
BT0192,03/02/2025,ONLINE TRANSFER FROM SAVINGS xxxx8841,"500,000.00","-7,107,885.93"
BT0112,03/03/2025,FEDEX 7729,"-164,933.51","-7,272,819.44"
BT0134,03/03/2025,INTUIT *QBOOKS,"-72,983.22","-7,345,802.66"
BT0101,2025-03-04,FLEXPORT 3PL INV,"-151,285.84","-7,497,088.50"
BT0058,03/05/2025,VERIZON WRLS,"-11,112.93","-7,508,201.43"
BT0080,03/05/2025,USPS PB 8000,"-82,276.57","-7,590,478.00"
BT0130,03/05/2025,INGREDIENT SUPPLIER LLC,"-105,722.35","-7,696,200.35"
BT0064,03/06/2025,UBER *TRIP,"-84,103.21","-7,780,303.56"
BT0162,03/06/2025,UPWORK *CONTRACTOR,"-98,289.59","-7,878,593.15"
BT0026,03/07/2025,RAZORPAY SETTLEMENT 0025 UTRPO0025,"85,083.81","-7,793,509.34"
BT0059,2025-03-07,UBER *TRIP,"-3,498.68","-7,797,008.02"
BT0075,2025-03-07,SLACK T0288,"-154,059.51","-7,951,067.53"
BT0107,2025-03-07,DELOITTE TAX SVCS,"-131,124.95","-8,082,192.48"
BT0137,2025-03-07,ALIBABA *RAWMAT,"-125,701.19","-8,207,893.67"
BT0043,2025-03-08,WEWORK MEMBERSHIP,"-117,612.04","-8,325,505.71"
BT0098,03/08/2025,NOTION LABS INC,"-31,349.09","-8,356,854.80"
BT0115,2025-03-08,FIGMA MONTHLY,"-77,289.81","-8,434,144.61"
BT0175,2025-03-08,SHENZHEN MFG CO,"-116,688.29","-8,550,832.90"
BT0028,03/11/2025,RAZORPAY SETTLEMENT 0027 UTRPO0027,"196,223.93","-8,354,608.97"
BT0105,2025-03-12,UPWORK *CONTRACTOR,"-117,306.55","-8,471,915.52"
BT0109,2025-03-12,TIKTOK ADS,"-5,115.84","-8,477,031.36"
BT0110,03/12/2025,COMCAST BUSINESS,"-77,548.04","-8,554,579.40"
BT0116,03/12/2025,USPS PB 8000,"-144,961.06","-8,699,540.46"
BT0122,03/12/2025,USPS PB 8000,"-105,076.37","-8,804,616.83"
BT0153,2025-03-12,INGREDIENT SUPPLIER LLC,"-74,748.19","-8,879,365.02"
BT0187,2025-03-12,RAZORPAYX PAYROLL NET DIRECT DEP,"-638,314.54","-9,517,679.56"
BT0188,03/12/2025,RAZORPAYX PAYROLL EPF CHALLAN,"-90,114.99","-9,607,794.55"
BT0151,2025-03-13,FIGMA MONTHLY,"-9,200.09","-9,616,994.64"
BT0093,2025-03-14,EASYPOST,"-63,664.69","-9,680,659.33"
BT0163,2025-03-14,UBER *TRIP,"-81,232.82","-9,761,892.15"
BT0038,03/15/2025,KLAVIYO INC,"-112,177.98","-9,874,070.13"
BT0113,2025-03-15,VERIZON WRLS,"-127,096.82","-10,001,166.95"
BT0128,03/15/2025,GOOGLE *GSUITE_acme,"-156,551.39","-10,157,718.34"
BT0129,2025-03-15,FLEXPORT 3PL INV,"-35,414.74","-10,193,133.08"
BT0171,2025-03-15,INFLUENCER PAYOUT GRIN,"-40,568.68","-10,233,701.76"
BT0030,03/16/2025,RAZORPAY SETTLEMENT 0029 UTRPO0029,"197,648.57","-10,036,053.19"
BT0193,2025-03-17,OWNER DISTRIBUTION ACH,"-250,000.00","-10,286,053.19"
BT0032,03/19/2025,RAZORPAY SETTLEMENT 0031 UTRPO0031,"73,143.46","-10,212,909.73"
BT0082,03/19/2025,STRIPE ATLAS,"-13,759.81","-10,226,669.54"
BT0159,2025-03-19,INGREDIENT SUPPLIER LLC,"-75,837.52","-10,302,507.06"
BT0100,03/20/2025,STRIPE ATLAS,"-36,032.46","-10,338,539.52"
BT0123,2025-03-20,USPS PB 8000,"-103,428.67","-10,441,968.19"
BT0160,03/20/2025,STAPLES 00471,"-54,651.99","-10,496,620.18"
BT0161,2025-03-20,USPS PB 8000,"-65,323.14","-10,561,943.32"
BT0174,03/20/2025,TIKTOK ADS,"-83,198.76","-10,645,142.08"
BT0068,03/22/2025,USPS PB 8000,"-121,148.92","-10,766,291.00"
BT0169,2025-03-22,VERIZON WRLS,"-28,798.08","-10,795,089.08"
BT0057,2025-03-23,GOOGLE *GSUITE_acme,"-39,951.77","-10,835,040.85"
BT0034,03/24/2025,RAZORPAY SETTLEMENT 0033 UTRPO0033,"82,883.02","-10,752,157.83"
BT0092,03/24/2025,INTUIT *QBOOKS,"-11,839.72","-10,763,997.55"
BT0114,03/24/2025,INTUIT *QBOOKS,"-160,464.75","-10,924,462.30"
BT0050,03/25/2025,SHIPBOB INC,"-138,592.75","-11,063,055.05"
BT0147,2025-03-25,FEDEX 7729,"-98,912.58","-11,161,967.63"
BT0125,2025-03-26,UBER *TRIP,"-26,118.70","-11,188,086.33"
BT0176,03/26/2025,PINTEREST ADS 22,"-54,173.13","-11,242,259.46"
BT0189,2025-03-26,RAZORPAYX PAYROLL NET DIRECT DEP,"-497,507.28","-11,739,766.74"
BT0190,03/26/2025,RAZORPAYX PAYROLL EPF CHALLAN,"-70,236.32","-11,810,003.06"
BT0062,03/27/2025,VERIZON WRLS,"-31,556.94","-11,841,560.00"
BT0178,03/27/2025,DOMINOS PIZZA *BUILDATHON NIGHT,"-3,450.00","-11,845,010.00"
BT0036,03/29/2025,RAZORPAY SETTLEMENT 0035 UTRPO0035,"169,492.34","-11,675,517.66"
BT0071,2025-03-29,DELOITTE TAX SVCS,"-137,149.00","-11,812,666.66"
BT0132,03/29/2025,ALIBABA *RAWMAT,"-132,929.79","-11,945,596.45"
BT0133,2025-03-30,PACKAGING SUPPLY CO,"-75,271.95","-12,020,868.40"
BT0166,03/30/2025,COMCAST BUSINESS,"-131,627.14","-12,152,495.54"
BT0173,2025-03-30,FEDEX 7729,"-25,665.01","-12,178,160.55"
